CG_CK,HOLD,INN2,BF,PA_P,AB_P,HIT_P,H2_P,H3_P,HR_P,SB_P,CS_P,SH_P,SF_P,BB_P,IB_P,HP_P,KK_P,GD_P,WP_P,BK_P,ERR_P,R_P,ER_P,P_WHIP_RT_P,P2_WHIP_RT_P,CB_WHIP_RT_P,PA_B,AB_B,RBI_B,RUN_B,HIT_B,H2_B,H3_B,HR_B,SB_B,CS_B,SH_B,SF_B,BB_B,IB_B,HP_B,KK_B,GD_B,ERR_B,LOB_B,P_HRA_RT_B,P_AB_CN_B,P_HIT_CN_B,Post_WLS
1,43,3026,16543,4368,3836,1001,184,19,70,101,31,31,42,392,10,67,746,90,54,1,18,519,449,167.14078421799996,185.6462937700001,177.59722777099992,4355,3867,473,506,1031,182,12,71,80,39,41,39,350,13,58,736,94,54,828,26.412274812000003,992,265,18
1,36,3003,17390,4554,3946,1129,192,18,100,70,34,52,52,447,28,57,811,83,90,3,10,636,571,200.148992672,237.372242668,212.43430735999982,4384,3892,473,503,1000,166,21,73,59,25,33,35,368,12,56,854,77,81,839,27.29937584099999,1027,266,6
1,50,3013,16267,4299,3832,1003,194,18,60,78,26,33,43,330,21,61,656,93,38,3,15,442,397,149.64837270899994,171.8731337789999,195.47996170199988,4433,3820,530,563,1047,192,24,67,70,29,27,69,458,13,59,653,101,54,890,29.16718617899999,1011,275,21
2,32,2977,17162,4458,3912,1124,185,17,97,78,40,36,37,410,5,62,732,95,55,4,15,604,556,198.03171411900001,235.24355138699994,215.8203796209999,4321,3843,467,503,982,180,13,77,88,39,34,34,356,11,54,864,94,71,783,27.144284148999994,956,252,15
1,48,2997,16258,4355,3835,1031,190,21,92,70,37,37,37,395,17,51,644,92,38,6,8,544,500,170.52514985000002,180.591263724,190.64478021699992,4389,3903,484,512,1083,150,15,76,75,36,39,39,370,11,38,764,87,74,874,28.10102512499999,1027,282,17
2,69,3012,16019,4298,3878,1032,194,20,52,74,35,36,31,306,2,47,790,85,38,4,9,483,435,176.89641583799997,159.37588376999992,192.74285714299978,4432,3911,596,626,1110,200,35,88,84,29,27,41,400,11,53,744,90,72,840,31.84341009999999,1097,332,19
2,48,2988,16850,4430,3879,1066,198,22,87,90,36,27,51,413,17,60,773,83,46,2,14,574,524,177.61650433099985,199.52416996899987,210.42359307399994,4364,3831,467,502,1024,207,16,61,69,32,29,38,420,13,46,728,81,61,874,27.379331277999995,1039,274,13
2,52,3027,16857,4400,3853,1011,159,16,77,53,39,33,47,395,9,72,785,87,54,2,13,516,464,175.12243590000003,176.22547021299997,196.57742257899977,4444,3920,518,547,1091,201,19,102,64,35,43,46,370,11,65,706,105,68,867,26.558843670999995,1012,276,17
4,49,3013,17099,4425,3885,1042,199,28,97,74,32,25,48,413,8,54,749,93,39,5,7,573,516,184.99638694699996,219.70802912400003,212.9805777539998,4385,3843,481,501,1000,183,22,99,89,32,51,42,382,14,67,766,87,73,844,24.448900252999994,982,250,13
0,74,3063,16678,4324,3870,971,141,10,77,77,24,38,28,348,10,40,888,83,38,0,5,418,379,164.2964119229999,158.625552338,199.3474109229999,4401,3904,518,542,1037,179,13,92,91,40,22,31,369,17,74,756,69,62,842,29.83170971899999,989,286,14
2,37,2984,16918,4431,3938,1135,206,18,127,85,34,36,44,344,11,69,816,85,54,3,6,636,584,168.98207625899994,229.69202582199998,199.97186979899982,4442,3978,590,628,1181,234,10,120,63,27,38,40,332,11,54,788,106,65,820,32.77094882799999,1058,325,14
0,47,3020,18021,4548,3957,1116,233,20,122,90,36,54,38,440,21,59,918,87,48,7,8,649,588,175.41302643499986,205.86649506700002,220.40680152999983,4521,4020,623,644,1164,230,14,153,47,26,39,31,366,20,65,903,89,80,851,29.877798512000002,1073,305,16
0,47,3033,17279,4484,3955,1114,222,15,117,56,32,33,36,373,13,87,827,102,57,2,7,598,570,180.12715617799995,194.5912050029999,203.78591408199998,4564,4039,670,712,1243,228,28,146,66,18,39,49,371,11,66,790,89,50,865,33.59737594400001,1118,340,20
0,49,3003,17445,4406,3934,1093,197,12,131,61,31,23,32,348,7,69,887,79,54,7,9,577,531,180.56958874299997,198.82812640499992,201.68996003799975,4342,3889,509,561,1073,196,14,107,100,51,24,24,334,14,71,862,92,64,793,30.378670207999996,1061,301,15
4,31,2991,16928,4479,4017,1229,206,17,157,85,31,47,36,314,21,65,808,117,49,1,7,647,593,190.69345996999988,220.48765481999988,205.42304362099992,4359,3920,551,578,1074,208,12,162,65,47,30,21,349,10,39,880,84,69,760,28.366308766000003,972,255,12
3,57,3025,16670,4422,3970,1127,204,16,133,50,32,32,23,317,11,80,796,107,48,3,13,593,549,166.33689227199997,174.84267737899998,207.74246587099984,4557,4048,609,638,1168,223,16,128,83,27,25,42,378,19,64,936,74,67,895,30.19184611599999,1114,324,18
4,28,2981,16923,4457,3996,1189,209,14,150,72,32,39,38,327,21,57,781,79,52,3,5,642,597,186.867166168,213.02230909099995,195.84572926999988,4476,3945,637,669,1169,209,18,137,67,28,48,36,368,20,79,697,109,64,827,31.995105060000007,1077,323,17
1,45,2988,17649,4462,3913,1115,191,18,142,69,37,41,37,421,12,50,786,86,79,5,13,644,594,197.564760241,210.6061624939999,208.63960206399992,4288,3824,458,481,978,186,14,104,66,26,30,31,328,12,75,869,81,70,801,27.005537849000007,897,230,12
0,48,3016,17701,4507,4017,1180,247,15,137,85,31,29,37,337,6,87,855,83,40,5,8,629,578,170.4316727399999,187.0768887489999,222.3440642709998,4522,4005,561,596,1155,194,22,103,85,43,47,38,362,11,70,785,92,58,892,30.758390145,1086,307,15
0,48,2998,16621,4334,3913,1053,192,15,142,73,32,28,20,317,10,56,859,84,44,1,10,559,508,188.51398601299994,171.88985665699994,191.63798701199988,4454,3902,617,649,1104,191,11,187,82,31,44,30,384,5,94,835,85,77,829,30.524624063000008,973,281,16
3,56,2995,16491,4298,3840,1010,194,21,103,58,27,40,41,293,25,84,800,80,68,3,10,524,471,177.6968864489999,157.67822452399986,180.27835497799987,4397,3870,532,564,1112,175,19,84,69,45,61,40,348,14,78,792,106,68,841,31.256700512999995,992,299,12
1,47,3040,17578,4498,3951,1114,204,17,125,70,38,43,40,395,21,69,839,93,51,4,7,588,543,184.1236929729999,240.575374337,189.17666499999984,4489,3935,539,572,1108,190,16,115,73,38,62,24,374,26,94,822,119,64,872,29.710003656999984,1043,293,22
3,33,3030,17252,4458,3929,1104,183,26,94,53,29,62,29,364,10,74,749,91,40,3,12,543,503,169.24326944999999,192.5152054509999,191.90937395999987,4579,4025,643,672,1194,223,18,138,58,23,29,40,411,11,74,721,102,59,901,31.807969770999996,1100,326,19
1,39,2994,17540,4492,3951,1167,234,14,135,69,35,52,45,365,13,79,718,103,60,1,8,653,596,205.922098733,191.49342929099993,219.67651515199987,4456,3955,547,587,1149,204,13,120,57,37,70,30,324,10,75,741,95,63,846,31.773464196999992,1025,305,13
4,29,2949,16811,4447,3947,1181,219,23,136,89,36,52,38,335,10,74,707,95,62,3,12,671,617,206.97527472399995,202.3669442819999,223.7144189129999,4284,3841,465,488,1036,216,12,85,72,38,55,31,306,9,50,771,97,79,781,28.962092886,978,273,14
1,56,3001,16622,4427,3980,1159,226,17,105,60,35,36,28,305,6,78,758,96,36,3,3,581,544,187.5287878799999,217.92297440900003,187.4126873119999,4486,3989,586,619,1172,216,21,105,59,25,15,38,378,13,66,797,103,64,888,32.09863996199999,1095,318,11
5,37,3039,17550,4511,4008,1174,201,18,107,65,38,44,36,358,17,64,762,107,57,3,11,577,541,207.58638861299994,209.72756610799996,208.91288711199988,4603,4045,691,722,1221,241,25,130,58,26,38,46,398,18,76,711,90,63,885,33.535355730000006,1098,359,18
1,42,3011,17177,4384,3856,1016,155,9,122,56,32,52,21,375,9,78,829,100,65,3,13,551,489,182.16631285399998,190.1335635649999,208.99491341399985,4502,3926,551,585,1123,223,18,97,77,28,51,37,383,14,105,772,99,75,918,29.782301936999996,1118,313,16
1,27,3013,17961,4604,3987,1183,224,23,136,51,25,44,51,420,11,102,812,106,50,3,11,697,642,185.45723026999994,250.74497953399995,225.09037629000002,4426,3948,517,567,1083,190,30,106,79,33,45,41,331,12,61,769,79,60,826,29.552466815999995,1008,279,10
1,47,2996,17136,4487,3939,1140,219,15,116,74,35,47,30,389,29,82,740,97,51,6,22,612,567,196.32330953399992,199.78524560999986,203.03488178299995,4366,3846,562,582,1017,170,10,184,43,33,40,29,355,19,95,847,82,61,792,29.11730818199999,905,241,20
1,51,3032,17278,4564,3956,1138,198,19,100,70,38,49,46,424,24,88,711,98,64,1,13,664,593,220.49532036599996,228.7874275169999,206.15114885399976,4563,4001,592,631,1166,182,23,96,103,56,51,40,412,10,59,774,69,72,893,29.82100459699999,1106,315,17
2,47,2982,17854,4522,3924,1149,209,20,136,74,45,51,34,455,22,58,818,91,58,2,10,670,616,236.18938561199988,232.3772876919999,222.0107309359999,4538,3928,568,607,1114,206,17,97,121,49,43,35,474,14,57,836,91,66,920,29.498935085999992,1118,313,15
1,42,3032,17351,4436,3898,1076,197,26,109,72,33,46,39,393,5,59,766,104,60,3,5,542,501,165.78096070699996,176.4630458809999,202.41574258899988,4580,3963,674,727,1181,211,21,138,71,36,37,53,454,8,73,675,91,54,867,33.427903777999994,1104,334,21
1,33,3039,18201,4665,3983,1172,178,13,118,115,54,62,45,511,14,64,764,85,59,6,23,732,660,231.65333832799996,244.87707090299992,242.21625874199987,4564,4008,607,634,1154,192,25,112,57,32,59,29,406,13,62,781,102,78,874,32.060037363999996,1103,327,17
1,36,3014,18378,4648,4041,1233,233,31,124,105,37,60,36,443,8,68,765,92,61,8,17,737,661,221.27663904599993,232.92359670600007,228.52387612299984,4420,3895,509,531,1062,161,6,92,82,37,53,32,402,3,38,727,103,90,841,27.92645125799999,1031,291,10
0,64,3035,17064,4470,3982,1165,194,24,116,83,50,52,48,340,3,48,698,74,38,3,9,579,533,166.32118616699992,177.01004791699992,212.61341991199984,4475,3905,597,642,1146,195,34,108,125,61,32,42,450,15,46,736,97,72,838,32.555551235,1108,342,13
6,42,3010,17766,4569,3979,1174,185,21,103,108,41,55,40,454,15,41,724,95,51,6,14,634,572,184.55053280099992,206.0328792419999,209.21933066899987,4534,3972,621,663,1157,211,23,135,86,37,48,36,402,10,76,800,87,72,857,30.453903989999993,1029,302,16
0,42,3013,17336,4432,3873,1037,171,16,98,59,35,39,34,409,2,77,890,85,63,5,11,552,510,177.54502996799982,240.96919909599998,210.1512820489999,4604,3938,676,709,1151,196,16,146,75,28,57,45,488,13,74,791,97,69,899,33.198876208999984,1110,348,16
2,41,3016,17656,4541,3990,1185,193,18,151,104,43,45,38,403,3,65,721,82,39,7,6,682,631,198.52812187499993,207.08287207999996,212.0444139199999,4598,3978,609,660,1156,205,25,105,89,45,72,45,437,12,66,670,97,63,898,31.206531263000002,1136,343,16
1,37,3007,16945,4452,3882,1086,181,16,123,92,53,46,38,426,13,59,731,99,50,6,15,606,529,175.13255494399993,194.99585500799995,216.39133366499996,4451,3929,566,596,1146,191,14,146,71,47,55,42,348,13,77,791,80,80,857,28.214600102999995,1000,270,13
